nat_id,cost,grievances,uncertainty,engagement
0.34805609,0.625321209,0.806952688,0.75765371,0.57368063
0.590473343,0.433262443,0.706021628,0.538028427,0.865648557
0.180323718,0.768871625,0.781909869,0.768897383,0.400387013
0.045340022,0.852271701,0.220221985,0.687882863,0.939848324
-0.500446661,0.605363477,0.573173804,0.674398448,0.678039464
0.619396491,0.561210168,0.733667839,0.765978144,0.49359939
0.996347257,0.651216103,0.699764541,0.688937852,0.720197594
0.570420441,0.285518102,0.648215917,0.706712457,0.434058209
0.639451911,0.632860586,0.44775148,0.379651455,0.436190711
0.837614292,0.563954915,0.348903193,0.338842917,0.969110054
0.778261225,0.732996556,0.725622497,0.556721904,0.834646899
-0.083785967,0.537149647,0.463493482,0.471646508,0.630877849
0.560738627,0.434949437,0.528141134,0.410155674,0.768813428
0.269860161,0.661889487,0.899561943,0.895271501,0.741983881
-0.167509964,0.51707628,0.891215695,0.448555394,0.497322388
0.965957184,0.240697218,0.602738395,0.35332299,0.57782666
0.955502266,0.493507914,0.360330097,0.463376965,0.641212139
0.188687106,0.132232367,0.569094378,0.719975394,0.484920739
0.542112531,0.649823208,0.540960529,0.566551778,0.512602204
0.103627032,0.747124631,0.311333267,0.611360805,0.617361253
-0.301722461,0.478465275,0.227477957,0.627817237,0.672261636
0.675562775,0.175216696,0.789463965,0.331615229,0.321547453
0.649193362,0.69057893,0.530837589,0.652916265,0.89375182
0.669113522,0.493996479,0.277950105,0.774803423,0.718608732
0.149335472,0.655193858,0.867898245,0.793733154,0.957498237
0.784930279,0.743786718,0.213334953,0.788566805,0.715370907
0.966955943,0.377941598,0.192385565,0.76992162,0.794421204
0.453232351,0.47834472,0.734921253,0.354171898,0.497662447
0.767459596,0.604610193,0.82731131,0.602581669,0.506302426
-0.196370533,0.830985709,0.314932206,0.519381403,0.191303738
0.007488754,0.536034033,0.685028585,0.607697106,0.255105633
-0.087331845,0.778026792,0.445652681,0.473893645,0.640244941
0.576840237,0.432300704,0.413704551,0.395182967,0.26893607
0.152377181,0.811063213,0.611013959,0.808759199,0.615870335
0.869032211,0.362032114,0.757394166,0.127324486,0.333897374
0.885618753,0.205366041,0.526492531,0.896971089,0.292592867
-0.114379022,0.844414989,0.502889933,0.500069551,0.6277502
-0.22771887,0.503349518,0.279620835,0.841922388,0.599065637
0.519184428,0.735530606,0.672830086,0.505693512,0.765686594
0.590491459,0.556195131,0.560040295,0.386085614,0.623028984
-0.49477451,0.843691326,0.598533037,0.559151502,0.571275223
0.648471919,0.498615964,0.291634496,0.462733378,0.811843697
0.513376667,0.526778724,0.80530287,0.573480542,0.492199016
0.312990631,0.872066405,0.922127079,0.574102246,0.638080192
0.800736596,0.375793286,0.755259653,0.712724821,0.585872684
