nat_id,cost,grievances,uncertainty,engagement
0.001514419,0.625321209,0.806952688,0.75765371,0.57368063
-0.007144963,0.433262443,0.706021628,0.538028427,0.865648557
-0.727190901,0.768871625,0.781909869,0.768897383,0.400387013
-0.378041725,0.852271701,0.220221985,0.687882863,0.939848324
0.044369787,0.605363477,0.573173804,0.674398448,0.678039464
-0.455272888,0.561210168,0.733667839,0.765978144,0.49359939
-0.010900798,0.651216103,0.699764541,0.688937852,0.720197594
-0.732725952,0.285518102,0.648215917,0.706712457,0.434058209
0.052352419,0.632860586,0.44775148,0.379651455,0.436190711
0.31144964,0.563954915,0.348903193,0.338842917,0.969110054
-0.097788603,0.732996556,0.725622497,0.556721904,0.834646899
0.103646236,0.537149647,0.463493482,0.471646508,0.630877849
-0.084069333,0.434949437,0.528141134,0.410155674,0.768813428
0.096651724,0.661889487,0.899561943,0.895271501,0.741983881
0.662794775,0.51707628,0.891215695,0.448555394,0.497322388
-0.918326481,0.240697218,0.602738395,0.35332299,0.57782666
-0.617732372,0.493507914,0.360330097,0.463376965,0.641212139
0.40745172,0.132232367,0.569094378,0.719975394,0.484920739
0.377721855,0.649823208,0.540960529,0.566551778,0.512602204
-0.259716506,0.747124631,0.311333267,0.611360805,0.617361253
0.083823713,0.478465275,0.227477957,0.627817237,0.672261636
0.934351624,0.175216696,0.789463965,0.331615229,0.321547453
-0.167387125,0.69057893,0.530837589,0.652916265,0.89375182
0.223977947,0.493996479,0.277950105,0.774803423,0.718608732
0.468892724,0.655193858,0.867898245,0.793733154,0.957498237
-0.13894261,0.743786718,0.213334953,0.788566805,0.715370907
-0.272924416,0.377941598,0.192385565,0.76992162,0.794421204
-0.714499853,0.47834472,0.734921253,0.354171898,0.497662447
0.070823504,0.604610193,0.82731131,0.602581669,0.506302426
-0.189979752,0.830985709,0.314932206,0.519381403,0.191303738
0.805352683,0.536034033,0.685028585,0.607697106,0.255105633
-0.001210476,0.778026792,0.445652681,0.473893645,0.640244941
0.756329707,0.432300704,0.413704551,0.395182967,0.26893607
-0.046128191,0.811063213,0.611013959,0.808759199,0.615870335
-0.57866556,0.362032114,0.757394166,0.127324486,0.333897374
0.285522963,0.205366041,0.526492531,0.896971089,0.292592867
0.92482552,0.844414989,0.502889933,0.500069551,0.6277502
0.063140127,0.503349518,0.279620835,0.841922388,0.599065637
-0.743607397,0.735530606,0.672830086,0.505693512,0.765686594
-0.32638847,0.556195131,0.560040295,0.386085614,0.623028984
-0.327677955,0.843691326,0.598533037,0.559151502,0.571275223
-0.600604865,0.498615964,0.291634496,0.462733378,0.811843697
-0.063499271,0.526778724,0.80530287,0.573480542,0.492199016
-0.254994485,0.872066405,0.922127079,0.574102246,0.638080192
-0.234721255,0.375793286,0.755259653,0.712724821,0.585872684
-0.0167921,0.634145783,0.654591139,0.562221309,0.915274278
-0.309423488,0.589224683,0.955570834,0.235954123,0.510969301
-0.016111269,0.768338203,0.157240473,0.752447409,0.275942556
0.21097299,0.824041859,0.395555342,0.702303815,0.862652091
0.313436353,0.61871654,0.89973322,0.417095239,0.778065141
0.145504163,0.659444436,0.876678109,0.91566433,0.58477504
-0.126977351,0.368271336,0.631476011,0.546327362,0.555337837
0.493891787,0.723160783,0.241183063,0.712595859,0.592651823
